Partlist exported from /home/lars/eagle/wro600/cpu.sch at  1/02/2006 14:13:35 

Part   Value               Device              Package             Description                                                                                                                              
C1     CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C2     CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C3                         C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C4                         C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C5                         C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C6                         C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C7                         C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C8                         C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C9                         C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C10                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C11                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C12                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C13    NM                  C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C14                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C15                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C16                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C17                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C18                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C19                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C20                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C21                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C22                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C23                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C24                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C25                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C26                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C27    CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C28    CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C29    CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C30                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C31                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C32                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C33                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C34                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C35                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C36                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C37                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C38                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C39                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C40                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C41                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C42                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C43    CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C44    CAP2.5              CAP2.5              CAP2.5                                                                                                                                                       
C45                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C46                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C47                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C48                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C49                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C50                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C51                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C52                        CPOL-EUE3.5-10      E3,5-10             POLARIZED CAPACITOR, European symbol                                                                                                     
C53                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C54                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C55                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C56                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C57                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C58                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C59                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
C60                        C-EUC0805K          C0805K              CAPACITOR, European symbol                                                                                                               
