Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BC501SM","BAT_BC501SM",-171.400000,-73.400000,-90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",-169.708810,-103.400000,90.000000,bottom
"C2","2.2uF","C_0603_1608Metric",-155.400000,-98.900000,180.000000,bottom
"C3","4.7uF","C_0805_2012Metric",-150.800000,-110.825000,90.000000,bottom
"C4","100nF","C_0603_1608Metric",-152.600000,-111.075000,90.000000,bottom
"C5","100nF","C_0603_1608Metric",-165.500000,-111.075000,-90.000000,bottom
"C6","100nF","C_0603_1608Metric",-162.325000,-113.100000,180.000000,bottom
"C7","100nF","C_0603_1608Metric",-157.425000,-116.100000,0.000000,bottom
"C8","100nF","C_0603_1608Metric",-168.200000,-103.400000,90.000000,bottom
"C9","100nF","C_0603_1608Metric",-155.383334,-100.400000,180.000000,bottom
"C22","10nF","C_0603_1608Metric",-152.438000,-123.700000,90.000000,bottom
"C23","100nF","C_0603_1608Metric",-156.500000,-119.200000,-90.000000,bottom
"C24","100nF","C_0603_1608Metric",-153.938000,-123.700000,90.000000,bottom
"C25","100nF","C_0603_1608Metric",-148.500000,-123.700000,90.000000,bottom
"C26","100nF","C_0603_1608Metric",-150.100000,-123.700000,90.000000,bottom
"C39","100nF","C_0603_1608Metric",-167.475000,-95.300000,0.000000,bottom
"C40","100nF","C_0603_1608Metric",-174.895000,-111.310000,0.000000,bottom
"C43","100nF","C_0603_1608Metric",-171.800000,-121.700000,180.000000,bottom
"R12","470R","R_0603_1608Metric",-180.700000,-59.975000,-90.000000,bottom
"R15","4.7k","R_0603_1608Metric",-158.000000,-111.470000,180.000000,bottom
"R16","4.7k","R_0603_1608Metric",-158.000000,-109.970000,180.000000,bottom
"R17","4.7k","R_0603_1608Metric",-162.925000,-105.030000,0.000000,bottom
"R18","4.7k","R_0603_1608Metric",-162.925000,-106.530000,0.000000,bottom
"R30","470R","R_0603_1608Metric",-171.200000,-59.900000,-90.000000,bottom
"R31","470R","R_0603_1608Metric",-168.100000,-59.912500,-90.000000,bottom
"R32","470R","R_0603_1608Metric",-164.900000,-59.900000,-90.000000,bottom
"R33","470R","R_0603_1608Metric",-177.100000,-59.912500,-90.000000,bottom
"R34","470R","R_0603_1608Metric",-174.100000,-59.912500,-90.000000,bottom
